Signal,EntryDateTime,EntryPrice,ExitType,ExitDateTime,ExitPrice,PandL,PandL_Percentage
SELL,2019-08-01 09:41:00,1156.0,SELLEXIT,2019-08-01 12:43:00,1162.5,-6.5,-0.5622837370242215
BUY,2019-08-01 12:43:00,1162.5,BUYEXIT,2019-08-01 14:00:00,1157.75,-4.75,-0.4086021505376344
SELL,2019-08-01 14:00:00,1157.75,SELLEXIT,2019-08-01 15:03:00,1174.0,-16.25,-1.4035845389764627
BUY,2019-08-01 15:03:00,1174.0,BUYEXIT,2019-08-02 09:15:00,1173.75,-0.25,-0.02129471890971039
SELL,2019-08-02 09:15:00,1173.75,SELLEXIT,2019-08-02 11:07:00,1178.5,-4.75,-0.4046858359957401
BUY,2019-08-02 11:07:00,1178.5,BUYEXIT,2019-08-02 12:55:00,1181.5,3.0,0.2545608824777259
SELL,2019-08-02 12:55:00,1181.5,SELLEXIT,2019-08-02 13:28:00,1193.45,-11.950000000000045,-1.0114261531950948
BUY,2019-08-02 13:28:00,1193.45,BUYEXIT,2019-08-02 14:55:00,1182.0,-11.450000000000045,-0.9594034102811216
SELL,2019-08-02 14:55:00,1182.0,SELLEXIT,2019-08-05 11:54:00,1142.1,39.9000000000001,3.375634517766505
BUY,2019-08-05 11:54:00,1142.1,BUYEXIT,2019-08-06 09:16:00,1136.6,-5.5,-0.4815690394886613
SELL,2019-08-06 09:16:00,1136.6,SELLEXIT,2019-08-06 09:22:00,1148.7,-12.100000000000136,-1.0645785676579391
BUY,2019-08-06 09:22:00,1148.7,BUYEXIT,2019-08-06 10:00:00,1136.95,-11.75,-1.022895447027074
SELL,2019-08-06 10:00:00,1136.95,SELLEXIT,2019-08-06 14:26:00,1142.6,-5.649999999999863,-0.496943577114197
BUY,2019-08-06 14:26:00,1142.6,BUYEXIT,2019-08-06 15:02:00,1131.35,-11.25,-0.9845965342201995
SELL,2019-08-06 15:02:00,1131.35,SELLEXIT,2019-08-07 09:17:00,1137.55,-6.2000000000000455,-0.5480178547752725
BUY,2019-08-07 09:17:00,1137.55,BUYEXIT,2019-08-07 09:53:00,1125.0,-12.549999999999955,-1.1032482088699358
SELL,2019-08-07 09:53:00,1125.0,SELLEXIT,2019-08-07 12:24:00,1124.95,0.049999999999954525,0.0044444444444404025
BUY,2019-08-07 12:24:00,1124.95,BUYEXIT,2019-08-07 13:17:00,1116.75,-8.200000000000045,-0.7289212853904657
SELL,2019-08-07 13:17:00,1116.75,SELLEXIT,2019-08-07 09:15:00,1130.55,-13.799999999999955,-1.2357286769644016
BUY,2019-08-07 09:15:00,1130.55,BUYEXIT,2019-08-07 09:53:00,1125.0,-5.5499999999999545,-0.4909115032506262
SELL,2019-08-07 09:53:00,1125.0,SELLEXIT,2019-08-07 12:24:00,1124.95,0.049999999999954525,0.0044444444444404025
BUY,2019-08-07 12:24:00,1124.95,BUYEXIT,2019-08-07 13:17:00,1116.75,-8.200000000000045,-0.7289212853904657
SELL,2019-08-07 13:17:00,1116.75,SELLEXIT,2019-08-08 10:00:00,1107.6,9.150000000000091,0.8193418401611899
BUY,2019-08-08 10:00:00,1107.6,BUYEXIT,2019-08-08 12:23:00,1111.8,4.2000000000000455,0.3791982665222143
SELL,2019-08-08 12:23:00,1111.8,SELLEXIT,2019-08-08 14:25:00,1123.1,-11.299999999999955,-1.0163698506925665
BUY,2019-08-08 14:25:00,1123.1,BUYEXIT,2019-08-09 14:08:00,1162.0,38.9000000000001,3.4636274597097403
SELL,2019-08-09 14:08:00,1162.0,SELLEXIT,2019-08-13 09:15:00,1250.25,-88.25,-7.594664371772804
BUY,2019-08-13 09:15:00,1250.25,BUYEXIT,2019-08-13 09:31:00,1256.65,6.400000000000091,0.5118976204759121
SELL,2019-08-13 09:31:00,1256.65,SELLEXIT,2019-08-13 09:59:00,1268.65,-12.0,-0.954919826522898
BUY,2019-08-13 09:59:00,1268.65,BUYEXIT,2019-08-13 11:19:00,1283.65,15.0,1.1823592007251802
SELL,2019-08-13 11:19:00,1283.65,SELLEXIT,2019-08-13 13:30:00,1292.65,-9.0,-0.7011256962567678
BUY,2019-08-13 13:30:00,1292.65,BUYEXIT,2019-08-13 14:46:00,1281.1,-11.550000000000182,-0.8935133253394332
SELL,2019-08-13 14:46:00,1281.1,SELLEXIT,2019-08-13 09:20:00,1262.3,18.79999999999995,1.4674888767465426
BUY,2019-08-13 09:20:00,1262.3,BUYEXIT,2019-08-13 09:31:00,1256.65,-5.649999999999863,-0.447595658718202
SELL,2019-08-13 09:31:00,1256.65,SELLEXIT,2019-08-13 09:59:00,1268.65,-12.0,-0.954919826522898
BUY,2019-08-13 09:59:00,1268.65,BUYEXIT,2019-08-13 11:19:00,1283.65,15.0,1.1823592007251802
SELL,2019-08-13 11:19:00,1283.65,SELLEXIT,2019-08-13 13:30:00,1292.65,-9.0,-0.7011256962567678
BUY,2019-08-13 13:30:00,1292.65,BUYEXIT,2019-08-13 14:46:00,1281.1,-11.550000000000182,-0.8935133253394332
SELL,2019-08-13 14:46:00,1281.1,SELLEXIT,2019-08-14 09:15:00,1295.0,-13.900000000000093,-1.0850050737647408
BUY,2019-08-14 09:15:00,1295.0,BUYEXIT,2019-08-14 09:45:00,1286.5,-8.5,-0.6563706563706564
SELL,2019-08-14 09:45:00,1286.5,SELLEXIT,2019-08-14 10:24:00,1294.6,-8.099999999999909,-0.6296152351340777
BUY,2019-08-14 10:24:00,1294.6,BUYEXIT,2019-08-16 09:22:00,1282.1,-12.5,-0.9655492043874556
SELL,2019-08-16 09:22:00,1282.1,SELLEXIT,2019-08-19 09:20:00,1289.0,-6.900000000000091,-0.5381795491771384
BUY,2019-08-19 09:20:00,1289.0,BUYEXIT,2019-08-19 09:45:00,1281.6,-7.400000000000091,-0.574088440651675
SELL,2019-08-19 09:45:00,1281.6,SELLEXIT,2019-08-19 10:28:00,1292.25,-10.650000000000091,-0.8309925093633032
BUY,2019-08-19 10:28:00,1292.25,BUYEXIT,2019-08-20 09:55:00,1281.9,-10.349999999999909,-0.8009286128844967
SELL,2019-08-20 09:55:00,1281.9,SELLEXIT,2019-08-22 14:17:00,1252.8,29.10000000000014,2.2700678680084354
BUY,2019-08-22 14:17:00,1252.8,BUYEXIT,2019-08-22 15:21:00,1240.85,-11.950000000000045,-0.953863346104729
SELL,2019-08-22 15:21:00,1240.85,SELLEXIT,2019-08-23 09:54:00,1239.7,1.1499999999998636,0.09267840593140697
BUY,2019-08-23 09:54:00,1239.7,BUYEXIT,2019-08-23 11:13:00,1246.75,7.0499999999999545,0.5686859724126768
SELL,2019-08-23 11:13:00,1246.75,SELLEXIT,2019-08-23 13:06:00,1258.9,-12.150000000000093,-0.9745337878484129
BUY,2019-08-23 13:06:00,1258.9,BUYEXIT,2019-08-23 09:15:00,1235.1,-23.800000000000185,-1.8905393597585336
SELL,2019-08-23 09:15:00,1235.1,SELLEXIT,2019-08-23 09:54:00,1239.7,-4.600000000000136,-0.3724394785847411
BUY,2019-08-23 09:54:00,1239.7,BUYEXIT,2019-08-23 11:13:00,1246.75,7.0499999999999545,0.5686859724126768
SELL,2019-08-23 11:13:00,1246.75,SELLEXIT,2019-08-23 13:06:00,1258.9,-12.150000000000093,-0.9745337878484129
BUY,2019-08-23 13:06:00,1258.9,BUYEXIT,2019-08-26 09:29:00,1271.05,12.149999999999864,0.9651282865994012
SELL,2019-08-26 09:29:00,1271.05,SELLEXIT,2019-08-26 12:18:00,1278.0,-6.9500000000000455,-0.5467920223437351
BUY,2019-08-26 12:18:00,1278.0,BUYEXIT,2019-08-26 14:44:00,1271.35,-6.650000000000091,-0.5203442879499288
SELL,2019-08-26 14:44:00,1271.35,SELLEXIT,2019-08-27 09:17:00,1275.45,-4.100000000000136,-0.3224918393833434
BUY,2019-08-27 09:17:00,1275.45,BUYEXIT,2019-08-27 14:12:00,1261.95,-13.5,-1.0584499588380571
SELL,2019-08-27 14:12:00,1261.95,SELLEXIT,2019-08-27 14:34:00,1272.65,-10.700000000000044,-0.8478941320971548
BUY,2019-08-27 14:34:00,1272.65,BUYEXIT,2019-08-28 10:37:00,1266.3,-6.350000000000137,-0.4989588653596933
SELL,2019-08-28 10:37:00,1266.3,SELLEXIT,2019-08-29 14:09:00,1257.25,9.049999999999956,0.7146805654268306
BUY,2019-08-29 14:09:00,1257.25,BUYEXIT,2019-08-29 15:02:00,1245.35,-11.900000000000093,-0.9465102406045012
SELL,2019-08-29 15:02:00,1245.35,SELLEXIT,2019-08-29 09:15:00,1257.1,-11.75,-0.9435098566668004
BUY,2019-08-29 09:15:00,1257.1,BUYEXIT,2019-08-29 12:15:00,1246.5,-10.599999999999909,-0.8432105639964927
SELL,2019-08-29 12:15:00,1246.5,SELLEXIT,2019-08-29 14:09:00,1257.25,-10.75,-0.8624147613317288
BUY,2019-08-29 14:09:00,1257.25,BUYEXIT,2019-08-29 15:02:00,1245.35,-11.900000000000093,-0.9465102406045012
SELL,2019-08-29 15:02:00,1245.35,SELLEXIT,2019-08-30 13:45:00,1233.75,11.599999999999907,0.9314650499859404
BUY,2019-08-30 13:45:00,1233.75,BUYEXIT,2019-09-03 09:15:00,1240.0,6.25,0.5065856129685917
SELL,2019-09-03 09:15:00,1240.0,SELLEXIT,2019-09-04 09:53:00,1197.85,42.1500000000001,3.3991935483871036
BUY,2019-09-04 09:53:00,1197.85,,,,,
